,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Date
59,6645257.93,6245558.3,6054444.52,5856759.52,5814303.05,5834492.53,5574617.21,5800848.41,6278058.04,6742640.58,7042173.45,7296589.7,7394787.37,7318667.94,7164304.48,7026273.97,6936513.77,7016900.74,7872298.11,8303519.68,8118634.33,7779892.99,7225168.71,6654843.85,2015-03-01
60,6245397.2,5946406.38,5770636.09,5722923.56,6026207.69,6832183.29,7094701.69,7374230.5,7907549.48,8263661.04,8602842.91,8842393.73,8614185.41,8684207.93,8755926.23,8839486.75,8813044.05,8559244.05,9118589.47,9544025.84,9279582.46,8784074.06,7898314.74,7248649.49,2015-03-02
61,6809242.72,6577344.7,6378243.55,6277671.05,6533603.43,7281069.41,7430438.12,7720263.08,8204131.03,8435376.18,8772832.97,8957935.65,8675454.65,8719992.59,8814028.6,8906277.29,8882915.85,8661011.15,9205694.05,9512894.93,9254801.98,8790520.14,7878132.02,7182452.69,2015-03-03
62,6759744.04,6544660.05,6346413.91,6281642.91,6526092.76,7282201.81,7427267.73,7746319.35,8196315.84,8473936.0,8796353.4,8980524.19,8715251.34,8773458.67,9027938.8,8995456.3,8893601.93,8716802.68,9266548.07,9619390.71,9378796.01,8829901.9,7947666.07,7301905.03,2015-03-04
63,6878060.14,6635139.71,6453088.56,6402051.57,6602253.08,7336399.59,7428471.22,7715508.8,8194733.42,8477086.98,8793076.99,8976186.74,8769666.45,8788356.6,9014384.32,9053414.28,8931977.89,8672269.44,9241983.34,9528480.88,9355868.47,8890679.75,8057801.21,7322057.68,2015-03-05
64,6873027.43,6668215.15,6475834.51,6355960.13,6694630.87,7310472.15,7403945.93,7715314.95,8227259.65,8493938.77,8764548.76,8903333.95,8680585.79,8690102.42,8846785.0,8832519.98,8732338.79,8554595.02,9065481.61,9372803.32,9078404.57,8603085.09,7891242.54,7306168.53,2015-03-06
65,6802813.28,6554212.93,6411005.96,6293681.99,6345105.23,6583908.44,6674561.98,7164804.82,7788612.56,8146139.44,8392392.47,8537077.04,8445494.45,8259724.89,8098338.44,7974055.38,7829949.77,7843484.5,8517483.23,8877154.09,8635834.68,8180586.05,7481890.91,6983243.35,2015-03-07
66,6514073.68,6127098.15,5874036.15,5765519.91,5690757.29,5655434.16,5454621.06,5796231.28,6314129.54,6731722.92,7042927.23,7238456.85,7260810.39,7170560.32,7036830.77,6944602.17,6873940.06,6931325.37,7766902.82,8327593.87,8213674.47,7929241.37,7284244.47,6669465.52,2015-03-08
67,6139568.33,5897951.6,5711424.18,5694298.7,5968510.91,6850632.54,7043767.7,7396190.26,8124377.69,8487668.72,8831085.93,9057660.28,8829301.12,8820532.83,9009947.03,9028284.31,8915183.81,8681875.0,9223363.52,9612197.73,9299889.96,8717064.61,7852706.81,7010271.46,2015-03-09
68,6593036.34,6335603.77,6150074.42,6062882.11,6363194.47,7267148.67,7406373.61,7660318.6,8085757.64,8389244.1,8743804.08,8891328.0,8682078.02,8785458.05,8984679.02,9018340.18,8684560.75,8604824.92,9221507.59,9666270.19,9416863.37,8790574.87,7902376.73,7202312.89,2015-03-10
